algorithm_name,train_or_test_data,accuracy,precision_1,precision_2,precision_3,precision_4,precision_avg,recall_1,recall_2,recall_3,recall_4,recall_avg,f1_1,f1_2,f1_3,f1_4,f1_avg,auc_1,auc_2,auc_3,auc_4,auc_avg
Logistic Regression,train,0.9513888888888888,0.952054794520548,0.9469964664310954,0.9372822299651568,0.9689655172413794,0.9513247520395449,0.952054794520548,0.9403508771929825,0.9405594405594405,0.972318339100346,0.9513208628433293,0.952054794520548,0.9436619718309859,0.9389179755671903,0.9706390328151986,0.9513184436834807,0.9959620898375279,0.9954997065905826,0.9922560118864968,0.9972214091825811,0.9952348043742971
Logistic Regression,test,0.9548611111111112,0.9710144927536232,0.9722222222222222,0.9333333333333333,0.9444444444444444,0.9552536231884058,0.9852941176470589,0.9333333333333333,0.9459459459459459,0.9577464788732394,0.9555799689498944,0.9781021897810219,0.9523809523809523,0.9395973154362416,0.951048951048951,0.9552823521617917,0.9995989304812835,0.9975586854460095,0.9977898459206871,0.9983773609398325,0.9983312056969531
SVC Linear,train,0.9539930555555556,0.9556313993174061,0.950530035335689,0.9405594405594405,0.9689655172413794,0.9539215981134788,0.958904109589041,0.9438596491228071,0.9405594405594405,0.972318339100346,0.9539103845929087,0.9572649572649573,0.9471830985915493,0.9405594405594405,0.9706390328151986,0.9539116323077864,0.9945364765848996,0.9954511422732149,0.9923771378736737,0.9973416944993525,0.9949266128077852
SVC Linear,test,0.9548611111111112,0.9710144927536232,0.9722222222222222,0.9333333333333333,0.9444444444444444,0.9552536231884058,0.9852941176470589,0.9333333333333333,0.9459459459459459,0.9577464788732394,0.9555799689498944,0.9781021897810219,0.9523809523809523,0.9395973154362416,0.951048951048951,0.9552823521617917,0.9995989304812835,0.997621283255086,0.9974741096236424,0.9983773609398325,0.998267921074961
SVC RBF,train,0.9496527777777778,0.9583333333333334,0.9442508710801394,0.9246575342465754,0.9719298245614035,0.9497928908053629,0.9452054794520548,0.9508771929824561,0.9440559440559441,0.9584775086505191,0.9496540312852435,0.9517241379310345,0.9475524475524476,0.9342560553633218,0.9651567944250871,0.9496723588179727,0.9967625039821599,0.9955118476699245,0.9919895347147079,0.996952771975125,0.9953041645854793
SVC RBF,test,0.9583333333333334,0.9571428571428572,0.9594594594594594,0.935064935064935,0.9850746268656716,0.9591854696332308,0.9852941176470589,0.9466666666666667,0.972972972972973,0.9295774647887324,0.9586278055188577,0.9710144927536232,0.9530201342281879,0.9536423841059603,0.9565217391304348,0.9585496875545515,0.9995989304812835,0.9969327073552425,0.997726698661278,0.9982475498150192,0.9981264715782059
Random Forest (min_samples_leaf=1),train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest (min_samples_leaf=1),test,0.9340277777777778,0.9178082191780822,0.9565217391304348,0.9324324324324325,0.9305555555555556,0.9343294865741263,0.9852941176470589,0.88,0.9324324324324325,0.9436619718309859,0.9353471304776193,0.950354609929078,0.9166666666666666,0.9324324324324325,0.9370629370629371,0.9341291615227786,0.9987967914438503,0.9894209702660408,0.9949482192472846,0.997858116440579,0.9952560243494386
Random Forest (min_samples_leaf=3),train,0.9635416666666666,0.9724137931034482,0.9609929078014184,0.9482758620689655,0.9724137931034482,0.9635240890193201,0.9657534246575342,0.9508771929824561,0.9615384615384616,0.9757785467128027,0.9634869064728137,0.9690721649484536,0.9559082892416225,0.9548611111111112,0.9740932642487047,0.963483707387473,0.9992234788149091,0.9987697039600153,0.998300198646619,0.999562963349064,0.9989640861926519
Random Forest (min_samples_leaf=3),test,0.9444444444444444,0.9305555555555556,0.9583333333333334,0.9452054794520548,0.9436619718309859,0.9444390850429825,0.9852941176470589,0.92,0.9324324324324325,0.9436619718309859,0.9453471304776193,0.9571428571428572,0.9387755102040817,0.9387755102040817,0.9436619718309859,0.9445889623455016,0.9989973262032085,0.9926760563380281,0.9962111644354634,0.9986369831894594,0.9966303825415398
